Date,Time,AppVersion,Environ,Ph_Model,Ph_Manufac,Ph_API,Ph_SDK,Provider,Operator,Network,Roaming,Wifi_BSSID,Wifi_SSID,LocSource,Latitude,Longitude,MovingDist,DeviceType,wRttMin,wRttMax,wRttAvg,wRttLoss,eRttMin,eRttMax,eRttAvg,eRttLoss,wUDPJit1,wUDPLoss1,wUDPTime1,eUDPJit1,eUDPLoss1,eUDPTime1,wTCPUp1,wTCPDown1,eTCPUp1,eTCPDown1,wUpStdDev1,wUpMedian1,wDnStdDev1,wDnMedian1,eUpStdDev1,eUpMedian1,eDnStdDev1,eDnMedian1,wTCPUpPR1,wTCPUpPct1,wTCPDnPR1,wTCPDnPct1,eTCPUpPR1,eTCPUpPct1,eTCPDnPR1,eTCPDnPct1,wRVal,wMOS,eRVal,eMOS
1/17/2015,15:18:33,v1.2.3,Indoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,WIFI,False,NA,NA,GPS,38.84651401,-121.10539017,0.0,Phone,21.454,67.566,42.688,0,113.922,169.403,129.598,0,29.751,1.96,1,27.818,0.0,1,2776.0,4765.0,2984.0,4352.0,595.540964166194,2752.5,1435.8919492775215,5102.5,777.9813879521797,2850.5,1604.7412345147943,4043.0,10.3,1.0,10.625,1.0,9.35,0.972972972972973,10.8,0.975609756097561,87.17688,4.3,84.21051089108911,4.2
1/17/2015,16:04:36,v1.2.3,Indoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64618476,-118.9758362,0.0,Phone,56.579,165.1,125.247,0,129.303,433.014,238.11,0,10.789,1.96,1,10.644,0.0,1,2929.0,4744.0,2610.0,4420.0,490.05253799975367,3080.0,1894.9764246554626,4048.0,266.9245024346772,2555.0,1963.9480161144795,4248.0,10.15,1.0,10.975,1.0,10.200000000000001,1.0,10.825000000000001,1.0,82.58704077669903,4.1,68.42000733944954,3.5
1/17/2015,16:12:59,v1.2.3,Outdoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64605776,-118.9761945,0.0,Phone,471.711,471.711,471.711,90,318.207,1319.519,887.169,20,0.0,98.03,1,164.956,92.15,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,36.40718181818182,1.9,-19.303318181818177,1.0
1/17/2015,16:16:13,v1.2.3,Outdoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64607943,-118.97615607,33.492607,Phone,315.338,507.935,412.841,60,311.493,1491.241,764.699,70,14.277,96.07,1,167.267,82.35,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,44.27968181818182,2.3,-2.899484848484841,1.0
1/17/2015,16:29:24,v1.2.3,Outdoor,SCH-I545,samsung,4.4.2,19,Verizon,Searching for Service,UNKNOWN,False,NA,NA,GPS,37.64599825,-118.976026,0.0,Phone,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service,no effective service
1/17/2015,16:30:00,v1.2.3,Outdoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64597437,-118.97614907,0.0,Phone,343.2,343.2,343.2,90,250.702,368.957,298.817,70,149.191,94.11,1,313.777,94.11,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,53.55918181818182,2.8,59.58918181818182,3.1
1/17/2015,18:34:17,v1.2.3,Outdoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64598927,-118.9761729,54.220528,Phone,203.919,609.832,407.836,60,329.163,560.272,407.615,60,10.616,86.27,1,146.969,94.11,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,44.94968181818182,2.3,44.94968181818182,2.3
1/18/2015,03:28:14,v1.2.3,Indoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,LTE,False,NA,NA,GPS,37.64577685,-118.97596185,0.0,Phone,71.045,383.27,228.308,0,137.817,374.451,249.221,0,1.334,0.0,1,12.361,0.0,1,1198.0,5944.0,967.0,9802.0,316.1358094237349,1212.5,3275.198067318264,5325.0,275.9534788691746,1015.5,3711.9042160447657,12163.0,10.399999999999999,0.95,11.125,0.9534883720930233,10.525,0.95,11.700000000000001,0.9772727272727273,72.08346037735849,3.7,66.94600733944955,3.5
1/18/2015,04:34:43,v1.2.3,Indoor,LG-D415,LGE,4.4.2,19,NA,T-Mobile,WIFI,False,NA,NA,GPS,38.58050324,-121.52854635,0.0,Phone,58.061,106.819,73.562,0,129.871,147.953,138.409,0,1.536,0.0,1,28.292,0.0,1,1732.0,5136.0,1706.0,5067.0,368.1656692305788,1670.5,271.17477758818205,5198.0,357.2326972716803,1638.5,682.116038515442,5160.0,10.4,1.0,10.524999999999999,1.0,10.2,1.0,10.700000000000001,1.0,86.43744000000001,4.2,84.8904,4.2
1/18/2015,08:50:33,v1.2.3,Indoor,SCH-I545,samsung,4.4.2,19,Verizon,Verizon Wireless,WIFI,False,NA,NA,Network,37.5238888,-122.3300412,39.52828,Phone,37.842,53.376,44.229,0,115.112,155.395,127.639,0,1.326,0.0,1,21.841,0.0,1,8093.0,21847.0,8489.0,11470.0,410.7684992790951,7996.0,11651.992345088456,27389.0,1628.9296761984538,7963.0,7579.361752047464,9053.5,10.05,1.0,10.075,1.0,10.05,1.0,10.45,1.0,87.13944000000001,4.3,84.25611089108911,4.2
